Created on 04-08-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-06 04-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 03-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 02-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 01-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 12-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 11-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 10-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 09-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 08-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 07-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 06-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 05-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 04-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 03-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 02-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 01-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 12-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 11-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 10-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 09-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 08-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 07-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 06-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 05-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 04-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 03-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 02-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 01-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 12-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-04 11-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
